# Frequency, S11, S12, S21, S22
9.588839071257005632e+07,-5.994491491700000285e-01,-6.441460706499999844e+01,-6.470281635000000620e+01,-5.994719550599999502e-01
9.589239391513210535e+07,-5.996114737100000092e-01,-6.416625358899999299e+01,-6.491483241000000248e+01,-6.025171336100000330e-01
9.589639711769415438e+07,-5.994238524999999651e-01,-6.440179784100000404e+01,-6.432853346100000635e+01,-6.008075170600000181e-01
9.590040032025620341e+07,-5.994583634300000297e-01,-6.395264042400000193e+01,-6.615985466499999745e+01,-6.039977369700000320e-01
9.590440352281825244e+07,-5.988026969199999883e-01,-6.458430175200000178e+01,-6.495109175000000334e+01,-6.035927183499999460e-01
9.590840672538030148e+07,-5.983745949100000017e-01,-6.589446920999999691e+01,-6.620422606299999302e+01,-6.032057989000000342e-01
9.591240992794235051e+07,-5.987255316999999799e-01,-6.582815522500000327e+01,-6.668714651700000218e+01,-6.021414640700000209e-01
9.591641313050439954e+07,-5.979866946899999869e-01,-6.531885515599999792e+01,-6.533249660900000322e+01,-6.011394586999999623e-01
9.592041633306644857e+07,-6.002002005400000062e-01,-6.522477344000000699e+01,-6.446572952500000042e+01,-6.030560747700000057e-01
9.592441953562849760e+07,-5.992163672600000490e-01,-6.584379758900000468e+01,-6.634531731100000229e+01,-6.017829500300000412e-01
9.592842273819054663e+07,-5.992744671699999914e-01,-6.479147402499999941e+01,-6.529791686999999456e+01,-6.035539933000000357e-01
9.593242594075259566e+07,-5.975434366099999783e-01,-6.478778183199999319e+01,-6.430491924599999720e+01,-6.031357616100000429e-01
9.593642914331464469e+07,-5.997185689799999775e-01,-6.500016131300000666e+01,-6.418826800399999399e+01,-6.024779181099999548e-01
9.594043234587670863e+07,-5.988840892800000315e-01,-6.454738673399999982e+01,-6.507418079900000407e+01,-6.042095602899999474e-01
9.594443554843875766e+07,-5.978291004500000394e-01,-6.486566586099999654e+01,-6.458123200999999369e+01,-6.036007110300000145e-01
9.594843875100080669e+07,-5.972513535000000262e-01,-6.453533056999999928e+01,-6.617839749600000232e+01,-6.038919407999999711e-01
9.595244195356285572e+07,-5.977529328199999714e-01,-6.393515297700000133e+01,-6.319697842800000132e+01,-6.030121304000000126e-01
9.595644515612490475e+07,-5.995988412899999620e-01,-6.556093636800000013e+01,-6.626988512100000150e+01,-6.038789068300000062e-01
9.596044835868695378e+07,-5.992232412300000366e-01,-6.510637486000000251e+01,-6.415188679400000638e+01,-6.046707256000000141e-01
9.596445156124900281e+07,-5.990333007899999451e-01,-6.523007305400000178e+01,-6.355743601500000040e+01,-6.027997531500000061e-01
9.596845476381105185e+07,-5.995898746700000226e-01,-6.479760683199999960e+01,-6.342847723100000223e+01,-6.052915172899999696e-01
9.597245796637310088e+07,-5.998594037400000190e-01,-6.456524779900000510e+01,-6.474737932499999715e+01,-6.032090370599999529e-01
9.597646116893514991e+07,-5.992070344900000123e-01,-6.499370889700000475e+01,-6.506078205599999364e+01,-6.038602073300000095e-01
9.598046437149719894e+07,-6.010252234199999766e-01,-6.450546226100000524e+01,-6.610016416400000594e+01,-6.049223009499999915e-01
