# Frequency, S11, S12, S21, S22
9.576829463570857048e+07,-6.098987226800000050e-01,-6.610935553199999504e+01,-6.545659457300000383e+01,-6.063517745399999992e-01
9.577229783827061951e+07,-6.054780671199999631e-01,-6.600813311100000647e+01,-6.378951422400000126e+01,-6.052522749900000054e-01
9.577630104083266854e+07,-6.074684951700000113e-01,-6.519192800099999374e+01,-6.625780727199999376e+01,-6.060952442500000537e-01
9.578030424339471757e+07,-6.080161541999999919e-01,-6.499846220899999594e+01,-6.558229130899999859e+01,-6.048360072999999781e-01
9.578430744595676661e+07,-6.071519311999999946e-01,-6.521910146599999791e+01,-6.546509701700000505e+01,-6.042057906500000186e-01
9.578831064851881564e+07,-6.088200011700000136e-01,-6.546204835899999352e+01,-6.498382177300000251e+01,-6.052522592300000337e-01
9.579231385108086467e+07,-6.064380938700000279e-01,-6.557168822399999897e+01,-6.452240863699999807e+01,-6.049817875199999806e-01
9.579631705364291370e+07,-6.081337697199999948e-01,-6.462713825800000222e+01,-6.592864488600000072e+01,-6.051675091399999484e-01
9.580032025620496273e+07,-6.069289926900000021e-01,-6.547971370800000557e+01,-6.520761087799999700e+01,-6.048018132700000438e-01
9.580432345876701176e+07,-6.079760356800000265e-01,-6.561603839100000357e+01,-6.343322557399999795e+01,-6.029837906899999656e-01
9.580832666132906079e+07,-6.061510509699999938e-01,-6.543665517499999851e+01,-6.424363778900000455e+01,-6.033908840299999632e-01
9.581232986389110982e+07,-6.059130461599999684e-01,-6.519923983299999293e+01,-6.434458260200000268e+01,-6.034372499900000353e-01
9.581633306645315886e+07,-6.069260840400000356e-01,-6.579816996600000323e+01,-6.622124050700000453e+01,-6.047142317200000505e-01
9.582033626901520789e+07,-6.060819932500000062e-01,-6.578810570500000665e+01,-6.493881147999999826e+01,-6.061658437600000449e-01
9.582433947157725692e+07,-6.090189773299999887e-01,-6.544513608900000179e+01,-6.525006424400000071e+01,-6.041463366099999455e-01
9.582834267413930595e+07,-6.054494191499999456e-01,-6.476262122599999316e+01,-6.484652622400000155e+01,-6.041325713099999772e-01
9.583234587670135498e+07,-6.060895962500000289e-01,-6.463686355900000535e+01,-6.506706100700000661e+01,-6.053115906599999541e-01
9.583634907926340401e+07,-6.050022002499999552e-01,-6.480394387100000131e+01,-6.500484547499999621e+01,-6.034658247099999873e-01
9.584035228182545304e+07,-6.061007150299999591e-01,-6.562610533000000146e+01,-6.611215008400000670e+01,-6.040973921300000216e-01
9.584435548438751698e+07,-6.054407737300000480e-01,-6.514676700799999765e+01,-6.496609993399999894e+01,-6.033361948400000063e-01
9.584835868694956601e+07,-6.040823389899999674e-01,-6.465240041799999915e+01,-6.469130133100000535e+01,-6.024109840200000399e-01
9.585236188951161504e+07,-6.060307518899999968e-01,-6.594659298499999522e+01,-6.396389819299999857e+01,-6.023134814099999623e-01
9.585636509207366407e+07,-6.038341434999999757e-01,-6.479463986599999714e+01,-6.634191398999999478e+01,-6.050848241899999813e-01
9.586036829463571310e+07,-6.048274000100000158e-01,-6.484581434300000069e+01,-6.611462210300000208e+01,-6.010855076700000188e-01
9.586437149719776213e+07,-6.074931015300000237e-01,-6.518814202500000476e+01,-6.496129657000000179e+01,-6.014244304600000479e-01
9.586837469975981116e+07,-6.048302056700000096e-01,-6.522705316100000061e+01,-6.624848242999999570e+01,-6.037565398199999933e-01
9.587237790232186019e+07,-6.062457554000000304e-01,-6.621628281099999924e+01,-6.546416548599999885e+01,-6.007265922500000244e-01
9.587638110488390923e+07,-6.066727570100000078e-01,-6.605105655500000239e+01,-6.717627835300000072e+01,-6.040574373099999450e-01
